horse_id	race_id	日付	開催	天気	R	レース名	枠番	馬番	オッズ	人気	騎手	斤量	距離	馬場	馬体重	着順	前走着順	前々走着順	pred	馬名
2022106307	202406050803	2024/12/22	中山	晴	3.0	2歳未勝利	7.0	13	194.6	13.0	津村明秀	55.0	芝1200	良	416(0)	12	14	5	0.005548974420427	カウニスミエリ
2022107204	202406050803	2024/12/22	中山	晴	3.0	2歳未勝利	7.0	14	416.2	16.0	佐藤翔馬	52.0	芝1200	良	440(+6)	15	10	10	0.0053925376463116	ニシノヘリオトロプ
2022106229	202406050803	2024/12/22	中山	晴	3.0	2歳未勝利	8.0	15	9.7	5.0	Ｃ．デム	55.0	芝1200	良	484(+6)	4	5	4	0.0602142695722036	ウインイザナミ
2022110038	202406050803	2024/12/22	中山	晴	3.0	2歳未勝利	8.0	16	4.1	2.0	マーカン	56.0	芝1200	良	482(+2)	1	5		0.1904692605130891	ミクストベリーズ
2022103320	202406050804	2024/12/22	中山	晴	4.0	2歳未勝利	1.0	1	173.5	10.0	嶋田純次	56.0	芝2000	良	460(+4)	10	6	8	0.0073555239343661	マジックスクロール
2022106773	202406050804	2024/12/22	中山	晴	4.0	2歳未勝利	1.0	2	239.2	12.0	丸山元気	56.0	芝2000	良	466(+10)	8	11	9	0.006101576512343	マイネルラファール
2022101073	202406050804	2024/12/22	中山	晴	4.0	2歳未勝利	2.0	3	375.5	18.0	長浜鴻緒	53.0	芝2000	良	474(0)	14	12		0.0053925376463116	ムチャスエルテ
2022101761	202406050804	2024/12/22	中山	晴	4.0	2歳未勝利	2.0	4	2.7	2.0	ムーア	56.0	芝2000	良	474(+4)	5	2	3	0.2729287427102595	ヘヴンウィンド
2022102252	202406050804	2024/12/22	中山	晴	4.0	2歳未勝利	3.0	5	282.3	14.0	木幡巧也	56.0	芝2000	良	450(+6)	17	9	13	0.0053925376463116	チャールズテソーロ
2022104725	202406050804	2024/12/22	中山	晴	4.0	2歳未勝利	3.0	6	175.3	11.0	横山和生	56.0	芝2000	良	522(+2)	2	12		0.0065556143130228	カーミングライツ
2022106770	202406050804	2024/12/22	中山	晴	4.0	2歳未勝利	4.0	7	21.2	6.0	マーカン	56.0	芝2000	良	432(-4)	15	5	5	0.0354063538033538	マイネルボス
2022102338	202406050804	2024/12/22	中山	晴	4.0	2歳未勝利	4.0	8	12.2	5.0	戸崎圭太	56.0	芝2000	良	488(0)	7	3	4	0.1104757528886358	コア
2022100384	202406050804	2024/12/22	中山	晴	4.0	2歳未勝利	5.0	9	98.0	8.0	幸英明	55.0	芝2000	良	450(-14)	9	9	6	0.0099553741080378	ジュラ
2022100069	202406050804	2024/12/22	中山	晴	4.0	2歳未勝利	5.0	10	265.0	13.0	鮫島克駿	56.0	芝2000	良	562(+6)	18	15		0.005548974420427	ナンヨービッグ
2022106804	202406050804	2024/12/22	中山	晴	4.0	2歳未勝利	6.0	11	355.9	16.0	柴田大知	56.0	芝2000	良	406(+2)	16	9		0.0056630135719765	マイネルライゼン
2022105751	202406050804	2024/12/22	中山	晴	4.0	2歳未勝利	6.0	12	24.2	7.0	Ｃ．デム	56.0	芝2000	良	450(0)	4	4	5	0.0339489404267327	イフルジャンス
2022100260	202406050804	2024/12/22	中山	晴	4.0	2歳未勝利	7.0	13	302.3	15.0	江田照男	56.0	芝2000	良	434(+2)	12	8		0.005548974420427	ルナティックアイ
2022106542	202406050804	2024/12/22	中山	晴	4.0	2歳未勝利	7.0	14	107.2	9.0	石川裕紀	55.0	芝2000	良	442(+2)	11	10		0.0093298261912697	ノーブルノワール
2022106761	202406050804	2024/12/22	中山	晴	4.0	2歳未勝利	7.0	15	6.8	3.0	横山武史	55.0	芝2000	良	456(0)	3	4		0.1424831149927275	ウアーシュプルング
2022100019	202406050804	2024/12/22	中山	晴	4.0	2歳未勝利	8.0	16	8.7	4.0	坂井瑠星	55.0	芝2000	良	454(-2)	6	2	6	0.0646765978897278	マカナ
2022104931	202406050804	2024/12/22	中山	晴	4.0	2歳未勝利	8.0	17	362.4	17.0	丸田恭介	55.0	芝2000	良	466(-4)	13	11	5	0.0053925376463116	アエル
2022105063	202406050804	2024/12/22	中山	晴	4.0	2歳未勝利	8.0	18	2.4	1.0	川田将雅	55.0	芝2000	良	422(-8)	1	2		0.2644310265847994	ロジャリーマイン
