index	bet_type	win_umaban	return
441	馬単	['4', '3']	1780
442	三連複	['3', '4', '5']	890
443	三連単	['4', '3', '5']	5890
444	単勝	['10']	310
445	複勝	['10']	150
445	複勝	['11']	190
445	複勝	['7']	220
447	馬連	['10', '11']	1310
448	ワイド	['10', '11']	430
448	ワイド	['7', '10']	520
448	ワイド	['7', '11']	590
449	馬単	['10', '11']	1820
450	三連複	['7', '10', '11']	2260
451	三連単	['10', '11', '7']	8170
452	単勝	['10']	1170
453	複勝	['10']	320
453	複勝	['12']	300
453	複勝	['1']	580
455	馬連	['10', '12']	4730
456	ワイド	['10', '12']	1460
456	ワイド	['1', '10']	3830
456	ワイド	['1', '12']	3430
457	馬単	['10', '12']	10740
458	三連複	['1', '10', '12']	42120
459	三連単	['10', '12', '1']	259960
460	単勝	['6']	3460
461	複勝	['6']	570
461	複勝	['5']	490
461	複勝	['4']	150
463	馬連	['5', '6']	29710
464	ワイド	['5', '6']	5310
464	ワイド	['4', '6']	990
464	ワイド	['4', '5']	920
465	馬単	['6', '5']	65290
466	三連複	['4', '5', '6']	15590
467	三連単	['6', '5', '4']	199900
468	単勝	['2']	240
469	複勝	['2']	140
469	複勝	['5']	180
469	複勝	['11']	530
471	馬連	['2', '5']	740
472	ワイド	['2', '5']	380
472	ワイド	['2', '11']	1150
472	ワイド	['5', '11']	2930
473	馬単	['2', '5']	1130
474	三連複	['2', '5', '11']	8140
475	三連単	['2', '5', '11']	20360
476	単勝	['1']	210
477	複勝	['1']	120
477	複勝	['14']	310
477	複勝	['9']	1860
479	馬連	['1', '14']	1190
480	ワイド	['1', '14']	680
480	ワイド	['1', '9']	4610
480	ワイド	['9', '14']	17760
481	馬単	['1', '14']	1810
482	三連複	['1', '9', '14']	40370
483	三連単	['1', '14', '9']	116560
484	単勝	['10']	1010
485	複勝	['10']	320
485	複勝	['14']	210
485	複勝	['15']	270
487	馬連	['10', '14']	2610
488	ワイド	['10', '14']	870
488	ワイド	['10', '15']	1350
488	ワイド	['14', '15']	900
489	馬単	['10', '14']	5330
490	三連複	['10', '14', '15']	6800
491	三連単	['10', '14', '15']	40530
492	単勝	['11']	330
493	複勝	['11']	150
493	複勝	['1']	170
493	複勝	['12']	250
495	馬連	['1', '11']	770
496	ワイド	['1', '11']	370
496	ワイド	['11', '12']	680
496	ワイド	['1', '12']	1070
497	馬単	['11', '1']	1260
498	三連複	['1', '11', '12']	3650
499	三連単	['11', '1', '12']	14280
500	単勝	['10']	1230
501	複勝	['10']	480
501	複勝	['4']	950
501	複勝	['14']	360
503	馬連	['4', '10']	25410
504	ワイド	['4', '10']	7720
504	ワイド	['10', '14']	2100
504	ワイド	['4', '14']	6820
505	馬単	['10', '4']	46100
506	三連複	['4', '10', '14']	92500
507	三連単	['10', '4', '14']	498620
508	単勝	['6']	770
509	複勝	['6']	300
509	複勝	['8']	650
509	複勝	['4']	2180
511	馬連	['6', '8']	11070
512	ワイド	['6', '8']	2860
512	ワイド	['4', '6']	9100
512	ワイド	['4', '8']	17280
513	馬単	['6', '8']	17070
514	三連複	['4', '6', '8']	197990
515	三連単	['6', '8', '4']	866470
516	単勝	['8']	360
517	複勝	['8']	130
517	複勝	['3']	110
517	複勝	['1']	160
519	馬連	['3', '8']	280
520	ワイド	['3', '8']	170
520	ワイド	['1', '8']	540
520	ワイド	['1', '3']	260
521	馬単	['8', '3']	730
522	三連複	['1', '3', '8']	760
523	三連単	['8', '3', '1']	3870
524	単勝	['12']	340
525	複勝	['12']	150
525	複勝	['13']	270
525	複勝	['14']	430
527	馬連	['12', '13']	2370
528	ワイド	['12', '13']	910
528	ワイド	['12', '14']	1380
528	ワイド	['13', '14']	2180
529	馬単	['12', '13']	3230
530	三連複	['12', '13', '14']	10590
531	三連単	['12', '13', '14']	46290
532	単勝	['8']	500
533	複勝	['8']	160
533	複勝	['2']	130
533	複勝	['1']	170
535	馬連	['2', '8']	1120
536	ワイド	['2', '8']	390
536	ワイド	['1', '8']	780
536	ワイド	['1', '2']	310
537	馬単	['8', '2']	2440
538	三連複	['1', '2', '8']	2250
539	三連単	['8', '2', '1']	10850
540	単勝	['14']	190
541	複勝	['14']	110
541	複勝	['13']	130
541	複勝	['6']	430
543	馬連	['13', '14']	400
544	ワイド	['13', '14']	200
544	ワイド	['6', '14']	810
544	ワイド	['6', '13']	1220
545	馬単	['14', '13']	590
546	三連複	['6', '13', '14']	2250
547	三連単	['14', '13', '6']	5860
548	単勝	['2']	410
549	複勝	['2']	170
549	複勝	['6']	260
549	複勝	['5']	470
551	馬連	['2', '6']	1480
552	ワイド	['2', '6']	690
552	ワイド	['2', '5']	1240
552	ワイド	['5', '6']	2460
553	馬単	['2', '6']	2510
554	三連複	['2', '5', '6']	9610
555	三連単	['2', '6', '5']	34060
556	単勝	['9']	180
557	複勝	['9']	110
557	複勝	['5']	180
557	複勝	['10']	170
559	馬連	['5', '9']	720
560	ワイド	['5', '9']	290
560	ワイド	['9', '10']	270
560	ワイド	['5', '10']	790
