	race_id	0	1	2	3
2	202407030104	枠連	2 - 7	1370	6
3	202407030104	馬連	2 - 7	1790	6
0	202407030104	ワイド	2 - 7 4 - 7 2 - 4	490 200 290	6 2 3
1	202407030104	馬単	7 → 2	2870	11
2	202407030104	三連複	2 - 4 - 7	930	2
3	202407030104	三連単	7 → 2 → 4	7440	25
0	202406030205	単勝	7	250	1
1	202406030205	複勝	7 5 10	120 170 210	1 3 4
2	202406030205	枠連	3 - 4	670	2
3	202406030205	馬連	5 - 7	770	2
0	202406030205	ワイド	5 - 7 7 - 10 5 - 10	330 410 970	1 3 11
1	202406030205	馬単	7 → 5	1510	2
2	202406030205	三連複	5 - 7 - 10	2000	4
3	202406030205	三連単	7 → 5 → 10	7530	8
0	202403020810	単勝	15	810	3
1	202403020810	複勝	15 14 12	320 650 1,090	4 9 12
2	202403020810	枠連	7 - 8	3420	15
3	202403020810	馬連	14 - 15	11520	36
0	202403020810	ワイド	14 - 15 12 - 15 12 - 14	3,440 3,930 6,640	35 41 61
1	202403020810	馬単	15 → 14	18870	61
2	202403020810	三連複	12 - 14 - 15	115460	236
3	202403020810	三連単	15 → 14 → 12	460850	1043
0	202404020109	単勝	5	390	2
1	202404020109	複勝	5 11 6	170 140 180	2 1 4
2	202404020109	枠連	4 - 7	640	2
3	202404020109	馬連	5 - 11	800	1
0	202404020109	ワイド	5 - 11 5 - 6 6 - 11	340 540 400	1 7 2
1	202404020109	馬単	5 → 11	1630	2
2	202404020109	三連複	5 - 6 - 11	1330	1
3	202404020109	三連単	5 → 11 → 6	5860	4
0	202403020804	単勝	6	2650	6
1	202403020804	複勝	6 7 2	420 110 190	6 1 4
2	202403020804	枠連	3 - 4	2180	8
3	202403020804	馬連	6 - 7	2900	9
0	202403020804	ワイド	6 - 7 2 - 6 2 - 7	990 2,080 320	10 23 3
1	202403020804	馬単	6 → 7	7580	21
2	202403020804	三連複	2 - 6 - 7	5000	15
3	202403020804	三連単	6 → 7 → 2	47720	130
0	202406030211	単勝	1	1140	7
1	202406030211	複勝	1 13 14	360 330 240	7 6 2
2	202406030211	枠連	1 - 8	2260	10
3	202406030211	馬連	1 - 13	4570	21
0	202406030211	ワイド	1 - 13 1 - 14 13 - 14	1,990 1,260 1,160	26 16 15
1	202406030211	馬単	1 → 13	10380	46
2	202406030211	三連複	1 - 13 - 14	13130	49
3	202406030211	三連単	1 → 13 → 14	102040	349
0	202405030806	単勝	14	340	2
1	202405030806	複勝	14 5 12	150 240 190	2 4 3
2	202405030806	枠連	3 - 7	2880	12
3	202405030806	馬連	5 - 14	2460	9
0	202405030806	ワイド	5 - 14 12 - 14 5 - 12	710 520 940	7 4 11
1	202405030806	馬単	14 → 5	3790	16
2	202405030806	三連複	5 - 12 - 14	4470	13
3	202405030806	三連単	14 → 5 → 12	20570	58
0	202409010803	単勝	1	240	2
1	202409010803	複勝	1 6 8	110 110 180	1 2 5
2	202409010803	枠連	1 - 6	260	1
3	202409010803	馬連	1 - 6	260	1
0	202409010803	ワイド	1 - 6 1 - 8 6 - 8	150 410 280	1 7 2
1	202409010803	馬単	1 → 6	490	1
2	202409010803	三連複	1 - 6 - 8	670	2
3	202409010803	三連単	1 → 6 → 8	2990	8
0	202408070206	単勝	6	180	1
1	202408070206	複勝	6 7	120 240	1 4
2	202408070206	馬連	6 - 7	550	3
0	202408070206	ワイド	6 - 7 1 - 6 1 - 7	190 130 270	2 1 6
1	202408070206	馬単	6 → 7	760	3
2	202408070206	三連複	1 - 6 - 7	340	2
3	202408070206	三連単	6 → 7 → 1	1740	6
0	202407010411	単勝	5	1060	4
1	202407010411	複勝	5 10 9	220 160 110	5 2 1
2	202407010411	枠連	4 - 7	1540	6
3	202407010411	馬連	5 - 10	2620	8
0	202407010411	ワイド	5 - 10 5 - 9 9 - 10	700 400 210	8 5 1
1	202407010411	馬単	5 → 10	6860	18
2	202407010411	三連複	5 - 9 - 10	1520	4
3	202407010411	三連単	5 → 10 → 9	17340	67
0	202406050308	単勝	11	4220	7
1	202406050308	複勝	11 10 14	440 170 110	7 3 1
2	202406050308	枠連	5 - 6	850	4
3	202406050308	馬連	10 - 11	9370	21
0	202406050308	ワイド	10 - 11 11 - 14 10 - 14	2,480 880 310	23 8 2
1	202406050308	馬単	11 → 10	33340	61
2	202406050308	三連複	10 - 11 - 14	4250	12
3	202406050308	三連単	11 → 10 → 14	91340	224
0	202407010405	単勝	2	280	1
1	202407010405	複勝	2 4 9	120 170 140	1 4 2
2	202407010405	枠連	1 - 2	980	4
3	202407010405	馬連	2 - 4	960	4
0	202407010405	ワイド	2 - 4 2 - 9 4 - 9	390 250 430	4 1 5
1	202407010405	馬単	2 → 4	1650	4
2	202407010405	三連複	2 - 4 - 9	1180	2
3	202407010405	三連単	2 → 4 → 9	5430	7
0	202410020109	単勝	4	760	3
1	202410020109	複勝	4 3 5	200 110 130	6 1 2
2	202410020109	馬連	3 - 4	670	2
0	202410020109	ワイド	3 - 4 4 - 5 3 - 5	280 570 180	3 7 1
1	202410020109	馬単	4 → 3	1780	7
2	202410020109	三連複	3 - 4 - 5	890	3
3	202410020109	三連単	4 → 3 → 5	5890	21
0	202507010709	単勝	10	310	2
1	202507010709	複勝	10 11 7	150 190 220	2 3 5
2	202507010709	枠連	8 - 8	1140	4
